ISO3,Long,Lat,Zoom
WORLD,0,0,3
ABW,-69.969016,12.506508,4
AFG,66.026105,33.833459,4
AGO,17.550067,-12.297061,4
AIA,-63.040318,18.231984,4
ALB,20.06446,41.139668,4
AND,1.573527,42.544661,4
ANT,-68.248475,12.640696,4
ARE,54.337091,23.903771,4
ARG,-65.169919,-35.394456,3
ARM,45.172208,40.245154,4
ASM,-170.420252,-14.288525,4
ATA,20.809627,-80.353829,4
ATF,68.781201,-49.124154,4
ATG,-61.799718,17.263947,4
AUS,134.488232,-25.733241,3
AUT,14.144481,47.58726,4
AZE,47.573775,40.30664,4
BDI,29.886706,-3.364879,4
BEL,4.663325,50.640859,4
BEN,2.340202,9.650069,4
BFA,-1.746136,12.274064,4
BGD,90.269362,23.848211,4
BGR,25.235243,42.757215,4
BHR,50.557901,26.032003,4
BHS,-76.577526,24.19803,4
BIH,17.785445,44.166921,4
BLR,28.043951,53.53964,4
BLZ,-88.691382,17.20355,4
BMU,-64.803577,32.286066,4
BOL,-64.665452,-16.709092,4
BRA,-53.079058,-10.768326,3
BRB,-59.554836,13.167244,4
BRN,114.746247,4.521804,4
BTN,90.448319,27.390302,4
BVT,3.411604,-54.432646,4
BWA,23.815231,-22.189158,4
CAF,20.48744,6.574258,4
CAN,-101.98129,55.703511,3
CHE,8.22906,46.800742,4
CHL,-71.71304,-35.120336,3
CHN,104,35,3
CIV,-5.553577,7.623498,4
CMR,12.742313,5.696552,4
COD,23.658531,-2.879035,4
COG,15.245705,-0.830818,3
COK,-158.709762,-20.929417,4
COL,-73.079988,3.906004,4
COM,43.672403,-11.887729,4
CPV,-23.975041,15.938015,4
CRI,-84.198469,9.968432,4
CUB,-79.003616,21.619412,4
CXR,105.652829,-10.488624,4
CYM,-81.123857,19.354598,4
CYP,33.22516,35.049503,4
CZE,15.331824,49.739121,4
DEU,10.392683,51.10671,4
DJI,42.579637,11.733779,4
DMA,-61.356773,15.425125,4
DNK,9.290967,55.961817,4
DOM,-70.4933,18.895792,4
DZA,2.647721,28.168198,4
ECU,-78.768103,-1.434134,4
EGY,29.772712,26.568041,4
