"Sort","ISO","en","fr"
1,"ggy","Bailiwick of Guernsey","Bailliage de Guernesey"
1,"jey","Bailiwick of Jersey","Bailliage de Jersey"
1,"ven","Bolivarian Republic of Venezuela","République bolivarienne du Venezuela"
1,"prk","Democratic People’s Republic of Korea","République populaire démocratique de Corée"
1,"cod","Democratic Republic of the Congo","République démocratique du Congo"
1,"fsm","Federated States of Micronesia","États Fédérés de Micronésie"
1,"mkd","Former Yugoslav Republic of Macedonia","Ex-République yougoslave de Macédoine"
1,"irn","Islamic Republic of Iran","République islamique d'Iran"
1,"lao","Lao People’s Democratic Republic","République démocratique populaire lao"
1,"chn","People's Republic of China","République populaire de Chine"
1,"bol","Plurinational State of Bolivia","État plurinational de Bolivie"
1,"mda","Republic of Moldova","République de Moldova"
1,"cog","Republic of the Congo ","République du Congo"
1,"rus","Russian Federation","Fédération de Russie"
1,"shn","Saint Helena, Ascension, and Tristan da Cunha","Sainte-Hélène, Ascension et Tristan da Cunha"
1,"syr","Syrian Arab Republic","République arabe syrienne"
1,"tza","United Republic of Tanzania","République-Unie de Tanzanie"
1,"hmd","Heard Island and McDonald Islands","Iles Heard et McDonald"
1,"atf","French Southern and Antarctic Lands","Terres australes et antarctiques françaises"
